block_seq_num,block_var_num,block_route_num,block_run_num
3984051,1,167,1
3984052,1,167,3
3984053,1,167,4
3984054,1,167,2
3984055,1,113,6
3984056,1,113,2
3984057,1,113,4
3984058,1,113,1
3984059,1,37,2
3984060,1,37,1
3984061,1,37,3
3984062,1,37,6
3984063,1,37,7
3984064,1,113,5
3984065,1,125,1
3984066,1,125,2
3984067,1,125,3
3984067,2,125,3
3984068,1,125,4
3984069,1,125,6
3984070,1,37,8
3984071,1,37,4
3984072,1,37,5
3984073,1,24,3
3984074,1,24,8
3984075,1,24,10
3984076,1,24,1
3984077,1,24,2
3984078,1,24,4
3984079,1,24,5
3984080,1,24,6
3984081,1,124,1
3984082,1,124,2
3984083,1,24,16
3984084,1,124,3
3984085,1,124,4
3984086,1,24,18
3984087,1,24,21
3984088,1,24,22
3984089,1,121,15
3984090,1,122,7
3984091,1,123,6
3984092,1,121,1
3984093,1,123,5
3984094,1,121,2
3984095,1,122,6
3984096,1,123,1
3984097,1,121,11
3984097,2,121,11
3984098,1,121,14
3984099,1,121,3
3984100,1,121,4
3984100,2,121,4
3984101,1,121,12
3984102,1,121,5
3984103,1,123,3
3984104,1,122,1
3984105,1,122,5
3984106,1,121,13
3984107,1,121,9
3984108,1,123,2
3984109,1,122,2
3984110,1,121,10
3984111,1,123,4
3984112,1,113,3
3984113,1,122,4
3984114,1,122,3
3984115,1,121,6
3984116,1,121,7
3984117,1,121,8
3984118,1,26,16
3984119,1,64,14
3984120,1,64,13
3984121,1,64,12
3984122,1,64,11
3984123,1,64,10
3984124,1,64,9
3984125,1,64,8
3984126,1,64,6
3984127,1,64,5
3984128,1,64,4
3984129,1,64,3
3984130,1,64,2
3984131,1,64,1
3984132,1,64,7
3984133,1,125,5
3984134,1,29,1
3984135,1,29,11
3984136,1,29,9
3984137,1,29,2
3984138,1,29,7
3984139,1,29,13
3984140,1,29,3
3984141,1,29,10
3984142,1,29,4
3984143,1,29,8
3984144,1,29,12
3984145,1,29,5
3984146,1,29,6
3984147,1,24,7
3984148,1,19,3
3984149,1,24,9
3984150,1,24,12
3984151,1,24,11
3984152,1,19,4
3984153,1,24,19
3984154,1,19,2
3984155,1,24,15
3984156,1,99,3
3984157,1,99,2
3984158,1,99,1
3984159,1,99,4
3984160,1,8,1
3984161,1,8,2
3984162,1,8,15
3984163,1,8,3
3984164,1,8,17
3984165,1,8,4
3984166,1,8,6
3984167,1,8,5
3984168,1,8,7
3984169,1,8,8
3984170,1,8,9
3984171,1,8,10
3984172,1,8,11
3984173,1,8,16
3984174,1,8,19
3984175,1,8,12
3984176,1,8,13
3984177,1,8,14
3984178,1,8,18
3984179,1,28,6
3984180,1,28,5
3984181,1,16,14
3984182,1,28,18
3984183,1,26,2
3984184,1,28,34
3984185,1,28,21
3984186,1,28,28
3984187,1,28,10
3984188,1,28,25
3984189,1,26,9
3984190,1,26,11
3984191,1,26,22
3984192,1,26,21
3984193,1,28,4
3984194,1,28,36
3984195,1,28,14
3984196,1,28,3
3984197,1,26,15
3984198,1,28,27
3984199,1,28,11
3984200,1,26,3
3984201,1,28,22
3984202,1,28,12
3984203,1,26,17
3984204,1,28,16
3984205,1,28,20
3984206,1,26,18
3984207,1,26,8
3984208,1,26,5
3984209,1,26,23
3984210,1,28,24
3984211,1,28,9
3984212,1,26,24
3984213,1,26,4
3984214,1,28,8
3984215,1,28,26
3984216,1,28,2
3984217,1,26,19
3984218,1,26,6
3984219,1,26,13
3984220,1,28,17
3984221,1,26,20
3984222,1,28,13
3984223,1,26,10
3984224,1,28,33
3984225,1,28,31
3984226,1,26,1
3984227,1,28,15
3984228,1,26,14
3984229,1,26,7
3984230,1,28,35
3984231,1,28,32
3984232,1,28,19
3984233,1,26,12
3984234,1,28,29
3984235,1,28,1
3984236,1,28,7
3984237,1,28,23
3984238,1,9,1
3984239,1,9,2
3984240,1,9,3
3984241,1,9,4
3984242,1,9,5
3984243,1,9,6
3984244,1,9,7
3984245,1,9,8
3984246,1,9,9
3984247,1,9,10
3984248,1,9,11
3984249,1,9,12
3984250,1,9,13
3984251,1,11,5
3984252,1,11,6
3984253,1,11,3
3984254,1,11,7
3984255,1,11,2
3984256,1,11,1
3984257,1,11,4
3984258,1,16,1
3984259,1,16,2
3984260,1,16,3
3984261,1,16,4
3984262,1,16,5
3984263,1,16,6
3984264,1,16,9
3984265,1,16,7
3984266,1,16,8
3984267,1,16,10
3984268,1,16,11
3984269,1,16,12
3984270,1,16,13
3984271,1,16,15
3984272,1,16,16
3984273,1,16,17
3984274,1,25,2
3984275,1,25,1
3984276,1,25,5
3984277,1,25,3
3984278,1,25,4
3984279,1,99,5
3984280,1,28,30
3984281,1,19,1
3984282,1,33,15
3984283,1,33,8
3984284,1,33,4
3984285,1,33,13
3984286,1,33,3
3984287,1,33,14
3984288,1,33,6
3984289,1,33,2
3984290,1,33,11
3984291,1,33,1
3984292,1,33,5
3984293,1,33,7
3984294,1,33,12
3984295,1,33,10
3984296,1,33,9
3984297,1,24,14
3984298,1,24,13
3984299,1,24,17
3984300,1,24,20
3984357,1,24,2
3984358,1,24,5
3984359,1,24,1
3984360,1,24,3
3984361,1,24,4
3984362,1,26,1
3984363,1,28,3
3984364,1,26,4
3984365,1,26,3
3984366,1,26,5
3984367,1,26,6
3984368,1,28,1
3984369,1,28,2
3984370,1,26,7
3984371,1,28,5
3984372,1,28,4
3984373,1,28,6
3984374,1,26,2
3984375,1,24,6
3984376,1,8,1
3984377,1,8,2
3984378,1,8,3
3984379,1,8,4
3984380,1,8,5
3984381,1,8,6
3984382,1,8,7
3984383,1,8,9
3984384,1,8,11
3984385,1,8,12
3984386,1,8,14
3984387,1,8,13
3984388,1,125,1
3984389,1,125,3
3984390,1,125,2
3984391,1,28,7
3984392,1,8,8
3984393,1,8,10
3984394,1,11,5
3984395,1,11,2
3984396,1,11,1
3984397,1,11,3
3984398,1,11,4
3984399,1,16,1
3984400,1,16,2
3984401,1,16,3
3984402,1,16,4
3984403,1,16,5
3984404,1,16,6
3984405,1,16,7
3984406,1,16,8
3984407,1,16,9
3984408,1,33,1
3984409,1,33,2
3984410,1,33,4
3984411,1,33,3
3984412,1,24,7
3984461,1,24,1
3984462,1,24,3
3984463,1,24,2
3984464,1,24,8
3984465,1,26,3
3984466,1,26,7
3984467,1,28,2
3984468,1,28,1
3984469,1,26,2
3984470,1,28,5
3984471,1,28,4
3984472,1,28,6
3984473,1,26,5
3984474,1,26,6
3984475,1,26,1
3984476,1,26,4
3984477,1,24,6
3984478,1,24,4
3984479,1,24,5
3984480,1,28,7
3984481,1,28,3
3984482,1,8,2
3984483,1,8,4
3984484,1,8,3
3984485,1,8,6
3984486,1,8,7
3984487,1,125,2
3984488,1,125,1
3984489,1,125,3
3984490,1,8,5
3984491,1,8,1
3984492,1,11,1
3984493,1,11,2
3984494,1,11,3
3984495,1,16,1
3984496,1,16,2
3984497,1,16,3
3984498,1,16,4
3984499,1,16,5
3984500,1,16,6
3984501,1,16,7
3984502,1,16,8
3984503,1,33,3
3984504,1,33,2
3984505,1,33,1
3984506,1,33,4
3984507,1,24,7
3984508,1,8,8
3984601,1,98,2
3984602,1,98,3
3984603,1,98,1
3984604,1,98,2
3984605,1,98,3
3984606,1,98,1
3984607,1,98,1
3984608,1,98,2
3984609,1,98,1
3984610,1,98,2
3986003,1,5,3
3986004,1,5,1
3986005,1,5,15
3986006,1,5,14
3986007,1,5,12
3986008,1,5,11
3986009,1,5,10
3986010,1,5,8
3986011,1,5,9
3986012,1,5,7
3986013,1,5,6
3986014,1,5,5
3986015,1,5,4
3986016,1,5,2
3986017,1,5,13
3986018,1,675,1
3986019,1,675,2
3986020,1,675,3
3986021,1,675,4
3986022,1,675,5
3986023,1,675,6
3986024,1,675,11
3986025,1,675,12
3986026,1,675,15
3986027,1,675,16
3986028,1,40,1
3986029,1,40,3
3986030,1,40,2
3986031,1,40,5
3986032,1,40,4
3986033,1,40,6
3986034,1,40,8
3986035,1,40,7
3986036,1,40,10
3986037,1,40,9
3986038,1,40,12
3986039,1,40,11
3986040,1,40,14
3986041,1,40,13
3986042,1,5,16
3986043,1,60,3
3986044,1,60,4
3986045,1,60,5
3986046,1,60,6
3986047,1,60,2
3986048,1,60,1
3986049,1,673,1
3986050,1,673,2
3986051,1,673,3
3986052,1,673,4
3986053,1,673,5
3986054,1,673,6
3986055,1,673,7
3986056,1,673,8
3986057,1,673,9
3986058,1,673,11
3986059,1,673,13
3986060,1,673,14
3986061,1,673,15
3986062,1,673,16
3986063,1,673,17
3986064,1,673,18
3986065,1,673,19
3986066,1,675,9
3986067,1,675,7
3986068,1,675,8
3986069,1,675,10
3986070,1,675,14
3986071,1,675,13
3986072,1,673,10
3986073,1,673,12
3986074,1,48,2
3986075,1,48,1
3986076,1,48,3
3986077,1,48,4
3986078,1,48,5
3986079,1,48,7
3986080,1,48,6
3986081,1,48,9
3986082,1,48,8
3986083,1,48,10
3986084,1,48,11
3986169,1,40,1
3986170,1,40,5
3986171,1,40,2
3986172,1,40,6
3986173,1,5,19
3986174,1,5,18
3986175,1,675,1
3986176,1,675,2
3986177,1,675,3
3986178,1,675,4
3986179,1,675,8
3986180,1,675,12
3986181,1,675,13
3986182,1,5,21
3986183,1,60,3
3986184,1,60,4
3986185,1,60,5
3986186,1,60,2
3986187,1,60,1
3986188,1,673,1
3986189,1,673,2
3986190,1,673,3
3986191,1,673,4
3986192,1,673,5
3986193,1,673,6
3986194,1,673,7
3986195,1,673,8
3986196,1,673,9
3986197,1,673,10
3986198,1,673,11
3986199,1,673,12
3986200,1,673,13
3986201,1,673,16
3986202,1,673,17
3986203,1,675,6
3986204,1,675,5
3986205,1,675,7
3986206,1,675,9
3986207,1,675,10
3986208,1,673,14
